№ по частотному списку,"произношение (перетащил мышкой со словаря LINGVO, www.lingvoda.ru)",УПРОЩЕННЫЙ иероглиф,"традиционный иероглиф, до №100 (если он отличается от упрощенного)",русский перевод (компьютер-переводом),,Компонент 1,Компонент 2,Компонент 3,Компонент 4,,MAO story,Моя?
2220,fu3,辅,,помогать; поддерживать; вспомогательный,помогать; поддерживать; вспомогательный,,,,,,,
2221,lü3,屡,,"неоднократно, много раз","неоднократно, много раз",,,,,,,
2222,xie2,谐,,договориться; уладить (какое-либо дело),договориться; уладить (какое-либо дело),,,,,,,
2223,chao2,嘲,,насмехаться; высмеивать,насмехаться; высмеивать,,,,,,,
2224,xue2,穴,,"дыра, нора, пещера","пещера; нора; гнездо; прям., перен. Логово, отверстие",баба с коромыслом,,,,,"Баба с коромыслом вышла из ПЕЩЕРЫ, раскрасневшаяся и растрепанная с восторгом поглядывая на свои ведра в ДЫРКАХ. Это были пожарные железные красные (2 тон) ведра. Это надо же как он меня любит. ",
2225,hua2,哗,,шуметь; гомонить,шуметь; гомонить,,,,,,,
2226,gang1,冈,,"холм, горка, бугор; нужно сделатьОМ по схожести на сеть","холм, горка, бугор; нужно сделатьОМ по схожести на сеть",,,,,,,
2227,zhuo2,卓,,выделяться; превосходить; выдающийся,выделяться; превосходить; выдающийся,,,,,,,
2228,zhe1,遮,,заслонять; загораживать; закрывать,заслонять; загораживать; закрывать,,,,,,,
2229,ping2,萍,,ряска,ряска,,,,,,,
2230,deng4,瞪,,таращить глаза; уставиться на; пристально смотреть на,таращить глаза; уставиться на; пристально смотреть на,,,,,,,
2231,geng1,耕,,пахать; вспашка,пахать; вспашка,,,,,,,
2232,nang2,囊,,мешок; сумка,мешок; сумка,,,,,,,
2233,yi4,溢,,разливаться; переливаться через край,разливаться; переливаться через край,,,,,,,
2234,ji1,圾,,мусор; отбросы,мусор; отбросы,,,,,,,
2235,qi4,泣,,плакать,плакать,,,,,,,
2236,han2,函,,письмо,письмо,,,,,,,
2237,que4,雀,,воробей,воробей,,,,,,,
2238,ju3,矩,,угольник (столярный),угольник (столярный),,,,,,,
2239,tao2,淘,,"промывать, прополаскивать","промывать, прополаскивать",,,,,,,
2240,zhu3,嘱,,велеть; наказывать; наказ,велеть; наказывать; наказ,,,,,,,
2241,kao3,烤,,печь; жарить,печь; жарить,,,,,,,
2242,mao4,茂,,"цветущий; густой, пышный (о растительности)","цветущий; густой, пышный (о растительности)",,,,,,,
2243,jiang1,浆,,раствор; масса; плазма,раствор; масса; плазма,,,,,,,
2244,la3,喇,,"1) горн; труба; 2) механизм, издающий трубные звуки","1) горн; труба; 2) механизм, издающий трубные звуки",,,,,,,
2245,hu2,壶,,чайник,чайник,,,,,,,
2246,an3,俺,,я; мой; мы,я; мой; мы,,,,,,,
2247,xi1,熙,,свет; сияние,свет; сияние,,,,,,,
2248,ying1,婴,,"младенец, ребёнок","младенец, ребёнок",,,,,,,
2249,meng2,朦,,"тусклый, неяркий","тусклый, неяркий",,,,,,,
2250,zhai4,寨,,укрепление; заграждение (в виде частокола),укрепление; заграждение (в виде частокола),,,,,,,
2251,chi3,耻,,стыд; позор,стыд; позор,,,,,,,
2252,huang3,谎,,ложь; неправда; лживый,ложь; неправда; лживый,,,,,,,
2253,pi4,屁,,газы в кишечнике,газы в кишечнике,,,,,,,
2254,mo4,沫,,пена,пена,,,,,,,
2255,ge1,戈,,"копьё, алебарда","копьё, алебарда",,,,,,,
2256,jia4,稼,,сеять (зерновые),сеять (зерновые),,,,,,,
2257,mo4,寞,,"безмолвный, тихий","безмолвный, тихий",,,,,,,
2258,guai3,拐,,повернуть,повернуть,,,,,,,
2259,dou1,兜,,карман; мешочек,карман; мешочек,,,,,,,
2260,shuai4,帅,,полководец; маршал,полководец; маршал,,,,,,,
2261,xiu1,羞,,стыдиться; смущаться,стыдиться; смущаться,,,,,,,
2262,bian1,鞭,,плеть; хлыст,плеть; хлыст,,,,,,,
2263,hou2,猴,,обезьяна; мартышка,обезьяна; мартышка,,,,,,,
2264,shua3,耍,,диал. играть; забавляться,диал. играть; забавляться,,,,,,,
2265,xun2,旬,,"1) десять дней, декада; 2) десятилетие","1) десять дней, декада; 2) десятилетие",,,,,,,
2266,lan4,滥,,чрезмерный; излишний,чрезмерный; излишний,,,,,,,
2267,rong2,绒,,пух,пух,,,,,,,
2268,cha1,叉,,вилка (столовая),вилка (столовая),,,,,,,
2269,heng1,亨,,успешно; благополучно,успешно; благополучно,,,,,,,
2270,zhu2,烛,,"свеча (напр., стеариновая)","свеча (напр., стеариновая)",,,,,,,
2271,di2,笛,,флейта (китайская),флейта (китайская),,,,,,,
2272,qian1,谦,,скромный; скромничать,скромный; скромничать,,,,,,,
2273,ai2,癌,,раковая опухоль; рак,раковая опухоль; рак,,,,,,,
2274,ying1,鹰,,орёл,орёл,,,,,,,
2275,lie4,猎,,охотиться; охота; охотничий,охотиться; охота; охотничий,,,,,,,
2276,cui4,粹,,чистый; без примеси,чистый; без примеси,,,,,,,
2277,ding3,鼎,,треножник (сосуд),треножник (сосуд),,,,,,,
2278,tuo4,拓,,"открывать; прокладывать; осваивать (напр., целину)","открывать; прокладывать; осваивать (напр., целину)",,,,,,,
2279,jiao3,搅,,"мешать, перемешивать(ся); размешивать","мешать, перемешивать(ся); размешивать",,,,,,,
2280,xiao1,宵,,ночь,ночь,,,,,,,
2281,rang3,嚷,,кричать; орать,кричать; орать,,,,,,,
2282,qu3,娶,,жениться; брать в жёны,жениться; брать в жёны,,,,,,,
2283,fei3,匪,,бандит; разбойник; бандитский; разбойничий,бандит; разбойник; бандитский; разбойничий,,,,,,,
2284,yue4,岳,,высокая гора,высокая гора,,,,,,,
2285,ni4,逆,,"(идти) наперекор; вопреки; встречный, противный","(идти) наперекор; вопреки; встречный, противный",,,,,,,
2286,wa1,哇,,звукоподр. плачу ребёнка,звукоподр. плачу ребёнка,,,,,,,
2287,pu3,浦,,берег; набережная,берег; набережная,,,,,,,
2288,bei1,卑,,"подлый, низкий","подлый, низкий",,,,,,,
2289,dian4,甸,,луг; пастбище,луг; пастбище,,,,,,,
2290,dian4,殿,,дворец; зал (в названиях),дворец; зал (в названиях),,,,,,,
2291,zhong4,仲,,второй из братьев,второй из братьев,,,,,,,
2292,pou1,剖,,вскрывать; анатомировать; разрезать,вскрывать; анатомировать; разрезать,,,,,,,
